bucket,is_new,fit_score,company,title,url,location,loc_bucket,workplace,pay_display,pay_min,pay_max,pay_type,pay_period,pay_source,years_required,years_text,jd_required,sales_attached,litigation_accepted,domain_floor,hard_exclude_reason,poor_reason,fit_signals,judgment_rationale,posted_date,closes_date,status,status_evidence,verified_at,via_aggregator,pipeline,sources,ats,board,job_id,key
fit,0,6,Morgan Stanley,Investment Management Attorney,https://ms.wd5.myworkdayjobs.com/External/job/New-York-New-York-United-States-of-America/Investment-Management-Attorney_PT-JR036173-1,"New York, New York, United States of America; Boston",nyc,,$120K–$205K base + bonus,120000.0,205000.0,base,year,regex:range,4,nized law school with bar admission and at least 4 years of professional working experience at a reputable law firm or asset-m,Y,N,unclear,"4+ yrs investment management / securities regulatory legal (Advisers Act, derivatives) (meets: stretch)",,,JD required/preferred; financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 4 years required (2–5 band),"""J.D. ... and at least 4 years of professional working experience"" - years match but specific investment-management/derivatives domain is adjacent, not held.",2026-05-04,,open,"Workday detail endpoint returned PT-JR036173 with posted=true, canApply=True on this run",2026-09-25,,False,board:workday,workday,ms|wd5|External,PT-JR036173,workday:ms|wd5|External:PT-JR036173
fit,0,6,Blackstone Credit,"Legal & Compliance – Credit & Insurance (BXCI) – Regulatory Attorney, AVP",https://blackstone.wd1.myworkdayjobs.com/Blackstone_Careers/job/New-York/Legal---Compliance---Credit---Insurance--BXCI----Regulatory-Attorney--AVP_41924,New York; New Jersey; Miami,nyc,,$135K–$200K base + bonus + equity,135000.0,200000.0,base,year,regex:range,5,- BXCI is seeking an attorney with 5+ years of experience in a law firm and as a compliance professional (prefera,N,N,unclear,"5+ yrs investment adviser regulatory compliance (SEC/CFTC/ERISA), private credit (meets: stretch)",,,JD required/preferred; regulatory/legal/policy research for decisions; credit/distressed/bankruptcy subject; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 5 years required (2–5 band),"""BXCI is seeking an attorney with 5+ years of experience in a law firm and as a compliance professional"" - 1 year short, regulatory-adjacent.",2026-03-13,,open,"Workday detail endpoint returned 41924 with posted=true, canApply=True on this run",2026-09-25,,False,board:workday,workday,blackstone|wd1|Blackstone_Careers,41924,workday:blackstone|wd1|Blackstone_Careers:41924
fit,0,6,NY Department of Financial Services,"Associate Attorney Financial Services, M-3",https://www.dfs.ny.gov/contact_us/careers_with_dfs/ass_att_fin_ser_m3_20261030.pdf,Albany or New York City,nyc,,"$120,471 base",120471.0,120471.0,base,year,regex:single,2,tional legal studies may substitute for two years of the experience. To Apply: Interested qualified candidates m,N,N,Y,,,,litigation experience accepted; financial-services background a plus; regulatory/legal/policy research for decisions; credit/distressed/bankruptcy subject; fintech/crypto/AI/market-structure subject; 2 years required (2–5 band),,,,open,Listed on nydfs this run; posting document fetched (HTTP 200),2026-09-25,,False,public_sector:nydfs,page,www.dfs.ny.gov,,url:www.dfs.ny.gov/contact_us/careers_with_dfs/ass_att_fin_ser_m3_20261030.pdf
fit,0,6,Alpaca ,Legal Counsel,https://job-boards.greenhouse.io/alpaca/jobs/6172672004,Remote - United States,us_remote,remote,Not listed,,,not listed,,,5,"- 5-7+ years of legal experience, with at least 3 years focused on U.S. broker-dea",Y,N,Y,broker-dealer/crypto regulatory counsel (meets: stretch),,,JD required/preferred; litigation experience accepted; financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; 5 years required (2–5 band),"Explicitly covers ""litigation, arbitration, and other disputes"" alongside broker-dealer/crypto regulatory work he'd need to grow into.",2026-08-28,,open,Greenhouse API lists job 6172672004 on board 'alpaca',2026-09-25,,False,board:greenhouse,greenhouse,alpaca,6172672004,greenhouse:alpaca:6172672004
fit,0,5,Norm AI,Associate - Investment Funds Regulatory,https://jobs.ashbyhq.com/norm-ai/25b4f656-d0a1-43fe-8bfd-2c47c4e6c623,New York City,nyc,hybrid,$270K–$410K base + bonus,270000.0,410000.0,base,year,regex:range,4,- 4 to 6 years of investment funds regulatory experience. - Hands-on experience wi,pref,N,unclear,4+ yrs investment funds regulatory practice (registered funds/advisers) (meets: stretch),,,JD required/preferred; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 4 years required (2–5 band),"""4 to 6 years of investment funds regulatory experience"" -- he meets the years overall but lacks the specific funds-regulatory domain.",2026-09-18,,open,Ashby API lists job on board 'norm-ai',2026-09-25,,True,board:ashby,ashby,norm-ai,25b4f656-d0a1-43fe-8bfd-2c47c4e6c623,ashby:norm-ai:25b4f656-d0a1-43fe-8bfd-2c47c4e6c623
fit,0,5,Mastercard,"Senior Counsel/Director, Stablecoin Enablement",https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/New-York-City-New-York/Senior-Counsel-Director--Stablecoin-Enablement_R-290303-1,"New York City, New York",nyc,,$212K–$340K base + bonus,212000.0,340000.0,base,year,regex:range,,,Y,N,unclear,payments/fintech regulatory counsel (meets: stretch),,,JD required/preferred; financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K,"""Significant legal experience advising on payments, money movement, financial technology"" but no explicit year count; his credit-risk exposure is adjacent, not payments counsel.",2026-09-08,,open,"Workday detail endpoint returned R-290303 with posted=true, canApply=True on this run",2026-09-25,,False,board:workday,workday,mastercard|wd1|CorporateCareers,R-290303,workday:mastercard|wd1|CorporateCareers:R-290303
fit,0,5,Airwallex,"Counsel, Product Legal (Strategic Partnerships)",https://jobs.ashbyhq.com/airwallex/ad7aaf45-cf1c-4946-a479-713f38b612a9,US - New York,nyc,hybrid,$146K–$255K base + bonus + equity,146000.0,255000.0,base,year,ashby:compensation,5,"- 5+ years of experience as a lawyer at a top firm, in-house or a combination of",N,N,unclear,"5+ yrs commercial/product legal (fintech, payments) (meets: stretch)",,,JD required/preferred; financial-services background a plus; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 5 years required (2–5 band),"""5+ years of experience as a lawyer at a top firm, in-house or a combination of both"" - general lawyer floor, only 1 year short.",2026-08-27,,open,Ashby API lists job on board 'airwallex',2026-09-25,,False,board:ashby,ashby,airwallex,ad7aaf45-cf1c-4946-a479-713f38b612a9,ashby:airwallex:ad7aaf45-cf1c-4946-a479-713f38b612a9
fit,0,5,Engine,Sr. Data Privacy & Risk Counsel,https://job-boards.greenhouse.io/engine/jobs/7784098003,Remote - US,us_remote,remote,"$182,800–$253K base + bonus + equity",182800.0,253000.0,base,year,greenhouse:pay_input_ranges,4,"4–6 years of hands-on experience in privacy law, either in-house or at a firm w",Y,N,unclear,4+ yrs privacy law/AI governance (meets: stretch),,,JD required/preferred; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 4 years required (2–5 band),"Needs ""4-6 years of hands-on experience in privacy law"" — years fit but he lacks dedicated privacy-law practice.",2026-06-25,,open,Greenhouse API lists job 7784098003 on board 'engine',2026-09-25,,False,board:greenhouse,greenhouse,engine,7784098003,greenhouse:engine:7784098003
fit,0,5,Airwallex,"Regulatory Counsel, Americas",https://jobs.ashbyhq.com/airwallex/2afd32cc-953e-401d-9bc5-d19847e9f212,US - New York; US - San Francisco,nyc,,$150K–$220K base + bonus + equity,150000.0,220000.0,base,year,ashby:compensation,5,"- Qualified lawyer with 5 years of relevant post-qualification experience. - Regulatory, financial-",N,N,unclear,US payments/money-transmission regulatory counsel (meets: stretch),,,financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 5 years required (2–5 band),"""With support and mentorship from senior members of the team, you will own defined regulatory workstreams"" - junior-friendly but payments-specific.",2026-08-26,,open,Ashby API lists job on board 'airwallex',2026-09-25,,False,board:ashby,ashby,airwallex,2afd32cc-953e-401d-9bc5-d19847e9f212,ashby:airwallex:2afd32cc-953e-401d-9bc5-d19847e9f212
fit,0,5,Airwallex,"Counsel, Product Legal (Lending)",https://jobs.ashbyhq.com/airwallex/ec93e728-bf15-4fd6-8a43-a4bf6bf6ed98,US - San Francisco; US - New York,nyc,hybrid,$150K–$220K base + bonus + equity,150000.0,220000.0,base,year,ashby:compensation,5,"- 5+ years of experience as a lawyer at a top firm, in-house or a combination of",N,N,unclear,"5+ yrs commercial/product legal (fintech, lending, payments) (meets: stretch)",,,JD required/preferred; financial-services background a plus; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 5 years required (2–5 band),"""5+ years of experience as a lawyer at a top firm, in-house or a combination of both"" - general lawyer floor, only 1 year short.",2026-08-26,,open,Ashby API lists job on board 'airwallex',2026-09-25,,False,board:ashby,ashby,airwallex,ec93e728-bf15-4fd6-8a43-a4bf6bf6ed98,ashby:airwallex:ec93e728-bf15-4fd6-8a43-a4bf6bf6ed98
fit,0,5,Bumble,"Senior Legal Counsel , Product",https://jobs.ashbyhq.com/bumbleinc/b0d844ec-97c6-4ba0-9f3b-c468c39a3b90,US NY New York; US TX Austin,nyc,hybrid,$170K–$220K base + bonus,170000.0,220000.0,base,year,ashby:compensation,5,"- 5+ years of relevant legal experience, including in-house at a U.S.-based glob",Y,N,unclear,"technology product counsel (privacy, IP, online safety) (meets: stretch)",,,JD required/preferred; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 5 years required (2–5 band),"Product counsel advising on ""generative AI, online safety, content acquisition, IP/copyright, open source, and privacy issues"".",2026-09-10,,open,Ashby API lists job on board 'bumbleinc',2026-09-25,,False,board:ashby,ashby,bumbleinc,b0d844ec-97c6-4ba0-9f3b-c468c39a3b90,ashby:bumbleinc:b0d844ec-97c6-4ba0-9f3b-c468c39a3b90
fit,0,5,Legora,Legal Counsel - Regulatory and Compliance,https://jobs.ashbyhq.com/legora/b945d0f8-c8f9-4b57-81eb-aaf56b7c1d76,New York City,nyc,onsite,$187K–$220K base,187000.0,220000.0,base,year,ashby:compensation,4,- 4+ years of experience at a top-tier law firm and/or as in-house counsel. -,Y,N,unclear,"4+ yrs privacy/regulatory compliance counsel (GDPR/CCPA), commercial negotiation (meets: stretch)",,,JD required/preferred; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 4 years required (2–5 band),"""4+ years of experience at a top-tier law firm and/or as in-house counsel"" -- years fit but role wants GDPR/CCPA and SaaS contract-negotiation expertise he doesn't have.",2026-09-23,,open,Ashby API lists job on board 'legora',2026-09-25,,False,board:ashby,ashby,legora,b945d0f8-c8f9-4b57-81eb-aaf56b7c1d76,ashby:legora:b945d0f8-c8f9-4b57-81eb-aaf56b7c1d76
fit,0,5,"State Comptroller, Office of the","Assistant Counsel, NS Item# 06892",https://statejobs.ny.gov/public/vacancyDetailsView.cfm?id=221375,"New York, NY",nyc,,"$165,239–$208,200 base",165239.0,208200.0,base,year,regex:range,2,he New York State Bar and must have had two years of experience in the practice of law subsequent to admission to the B,N,N,unclear,2+ yrs practice of law (investment management law preferred) (meets: Y),,,JD required/preferred; credit/distressed/bankruptcy subject; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 2 years required (2–5 band),"""two years of experience in the practice of law subsequent to admission""; ""Meaningful investment management law"" preferred.",,2026-10-19,open,Listed on statejobs this run; posting document fetched (HTTP 200),2026-09-25,,False,public_sector:statejobs,page,statejobs.ny.gov,,url:statejobs.ny.gov/public/vacancydetailsview.cfm?id=221375
fit,0,5,Solace Health,Product Counsel @ Solace Health,https://jobs.ashbyhq.com/jobs-page-4dc2685b-eb82-46d1-a3f9-1f0764dba814/e3ef26a9-57a7-498e-8f38-cadb471c65b8,Remote,us_remote,remote,$150K–$200K base + equity,150000.0,200000.0,base,year,ashby:compensation,3,"brings a JD, active bar membership, and 3–6 years of experience counseling product and engineering teams on privacy and",Y,N,N,3+ yrs healthcare privacy/product counsel (meets: stretch),,,JD required/preferred; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; base pay midpoint ≥ $150K; 3 years required (2–5 band),"Needs ""3-6 years of experience... with a strong foundation in healthcare privacy and data protection,"" a specific domain he lacks.",2026-08-18,,open,Ashby API lists job on board 'jobs-page-4dc2685b-eb82-46d1-a3f9-1f0764dba814',2026-09-25,,False,board:ashby,ashby,jobs-page-4dc2685b-eb82-46d1-a3f9-1f0764dba814,e3ef26a9-57a7-498e-8f38-cadb471c65b8,ashby:jobs-page-4dc2685b-eb82-46d1-a3f9-1f0764dba814:e3ef26a9-57a7-498e-8f38-cadb471c65b8
fit,0,5,NY Attorney General,"Attorney: Appellate Litigation, OAG’s Criminal Prosecutions 3902",https://statejobs.ny.gov/public/vacancyDetailsView.cfm?id=221963,"New York, NY",nyc,,"$91,506–$190,644 base",91506.0,190644.0,base,year,regex:range,2,A two (2) year commitment upon being hired is a condition of employment. Additiona,Y,N,Y,3+ yrs general legal practice (criminal appellate preferred) (meets: Y),,,JD required/preferred; clerkship valued; litigation experience accepted; regulatory/legal/policy research for decisions; 2 years required (2–5 band),"""a minimum of three (3) years of legal experience; demonstrated skills in legal research, analysis, and writing"".",,2026-10-16,open,Listed on statejobs this run; posting document fetched (HTTP 200),2026-09-25,,False,public_sector:statejobs,page,statejobs.ny.gov,,url:statejobs.ny.gov/public/vacancydetailsview.cfm?id=221963
fit,0,5,NY Attorney General,Attorney: Appellate Litigation in State & Federal Courts,https://statejobs.ny.gov/public/vacancyDetailsView.cfm?id=221316,"New York, NY",nyc,,"$91,356–$190,493 base",91356.0,190493.0,base,year,regex:range,2,• A minimum of two (2) years of post-graduate general legal experience. Prior appellate experience,Y,N,Y,2+ yrs general legal practice (meets: Y),,,JD required/preferred; clerkship valued; litigation experience accepted; regulatory/legal/policy research for decisions; 2 years required (2–5 band),"""A minimum of two (2) years of post-graduate general legal experience. Prior appellate experience, including clerkship experience, is preferred"".",,2027-08-31,open,Listed on statejobs this run; posting document fetched (HTTP 200),2026-09-25,,False,public_sector:statejobs,page,statejobs.ny.gov,,url:statejobs.ny.gov/public/vacancydetailsview.cfm?id=221316
fit,0,5,Samsara Inc.,Litigation and E-Discovery Counsel,https://www.samsara.com/company/careers/roles/8008896?gh_jid=8008896,Remote - US,us_remote,remote,"$119,298–$180,450 base + bonus + equity",119297.5,180450.0,base,year,greenhouse:pay_input_ranges,4,"4+ years of litigation experience within a law firm, government agency, or cor",Y,N,Y,litigation and e-discovery counsel (meets: Y),,,JD required/preferred; litigation experience accepted; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; 4 years required (2–5 band),"No explicit years floor; role is titled Litigation and E-Discovery Counsel, directly matching his litigation background.",2026-06-19,,open,Greenhouse API lists job 8008896 on board 'samsara',2026-09-25,,False,official_apis:themuse,greenhouse,samsara,8008896,greenhouse:samsara:8008896
fit,0,5,NY Department of Financial Services,"Senior Enforcement Counsel (Assistant Counsel, NS)",https://www.dfs.ny.gov/contact_us/careers_with_dfs/sen_enf_cou_ass_cou_ns_20260930_upd.pdf,Albany or New York City,nyc,,"$120,471–$152,238 base",120471.0,152238.0,base,year,regex:range,4,• At least 4 years of post-bar legal experience in the finance or banking industry;,Y,N,unclear,,,,JD required/preferred; financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; 4 years required (2–5 band),,,,open,Listed on nydfs this run; posting document fetched (HTTP 200),2026-09-25,,False,public_sector:nydfs,page,www.dfs.ny.gov,,url:www.dfs.ny.gov/contact_us/careers_with_dfs/sen_enf_cou_ass_cou_ns_20260930_upd.pdf
fit,0,5,Guggenheim Investments,Attorney - Restructuring,https://guggenheiminvestment.wd5.myworkdayjobs.com/External/job/330-Madison-Ave-2nd-Fl-New-York-City-NYUS/Attorney---Restructuring_JR-2026-101206,"330 Madison Ave (2nd Fl), New York City, NY,US",nyc,,$135K–$145K base,135000.0,145000.0,base,year,regex:range,2,"- 2-4 years of experience at a top law firm or in-house platform, with meaningful",Y,N,unclear,2+ yrs bankruptcy/restructuring practice (meets: stretch),,,JD required/preferred; regulatory/legal/policy research for decisions; credit/distressed/bankruptcy subject; fintech/crypto/AI/market-structure subject; 2 years required (2–5 band),"""2-4 years ... with meaningful exposure to bankruptcy, restructuring, or special situations matters"" - only 3-month clerk exposure.",2026-08-12,,open,"Workday detail endpoint returned JR-2026-101206 with posted=true, canApply=True on this run",2026-09-25,,False,board:workday; seed,workday,guggenheiminvestment|wd5|External,JR-2026-101206,workday:guggenheiminvestment|wd5|External:JR-2026-101206
fit,0,5,NY Department of Financial Services,"Associate Attorney Financial Services, M-3",https://www.dfs.ny.gov/contact_us/careers_with_dfs/ass_att_fin_ser_m3_20261020_ogc.pdf,Albany or NYC,nyc,,"$120,471 base",120471.0,120471.0,base,year,regex:single,2,tional legal studies may substitute for two years of experience. To Apply: Interested qualified candidates must sub,N,N,Y,,,,litigation experience accepted; financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; 2 years required (2–5 band),,,,open,Listed on nydfs this run; posting document fetched (HTTP 200),2026-09-25,,False,public_sector:nydfs,page,www.dfs.ny.gov,,url:www.dfs.ny.gov/contact_us/careers_with_dfs/ass_att_fin_ser_m3_20261020_ogc.pdf
fit,0,5,NY Department of Financial Services,"Senior Innovation Policy Specialist (Financial Services Specialist 2 (Policy Analysis), SG-23)",https://www.dfs.ny.gov/contact_us/careers_with_dfs/sen_inn_pol_spe_fin_ser_spe_2_pol_ana_sg23_20261019.pdf,"One State Street, New York City",nyc,,"$90,582 base",90582.0,90582.0,base,year,regex:single,2,An associate degree may substitute for two years of specialized experience; bachelor's degree may substitute for four,pref,N,unclear,,,,JD required/preferred; financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; 2 years required (2–5 band),,,,open,Listed on nydfs this run; posting document fetched (HTTP 200),2026-09-25,,False,public_sector:nydfs,page,www.dfs.ny.gov,,url:www.dfs.ny.gov/contact_us/careers_with_dfs/sen_inn_pol_spe_fin_ser_spe_2_pol_ana_sg23_20261019.pdf
fit,0,5,NY Department of Financial Services,"Senior Artificial Intelligence Specialist (Financial Services Specialist 2 (Policy Analysis), SG-23)",https://www.dfs.ny.gov/contact_us/careers_with_dfs/sen_art_int_spe_fin_ser_spe_2_pol_ana_sg23_20261030.pdf,Albany or New York City,nyc,,"$90,582 base",90582.0,90582.0,base,year,regex:single,2,"• At least two years of professional experience working with artificial intelligence, AI g",pref,N,unclear,,,,JD required/preferred; financial-services background a plus; regulatory/legal/policy research for decisions; fintech/crypto/AI/market-structure subject; 2 years required (2–5 band),,,,open,Listed on nydfs this run; posting document fetched (HTTP 200),2026-09-25,,False,public_sector:nydfs,page,www.dfs.ny.gov,,url:www.dfs.ny.gov/contact_us/careers_with_dfs/sen_art_int_spe_fin_ser_spe_2_pol_ana_sg23_20261030.pdf
